description,category
1 AP(s) are disconnected from Wireless Controller that are physically connected to Switch 'at-vie-core01.dyson.global.corp'.,Auto Resolving
3 AP(s) are disconnected from Wireless Controller that are physically connected to Switch 'Unknown'.,Auto Resolving
This network device at-vie-core01.dyson.global.corp is unreachable from Cisco Catalyst Center. The device role is BORDER:DEFAULT:WLC:EDGE:MAP-SERVER.,Non-Auto Resolving
This network device at-vie-rtr02 is unreachable from Cisco Catalyst Center. The device role is BORDER ROUTER.,Non-Auto Resolving
This network device at-vie-rtr01 is unreachable from Cisco Catalyst Center. The device role is BORDER ROUTER.,Non-Auto Resolving
ThousandEyes Alert triggered for [underlay] - UK Hub Primary to at-vie-rtr01 213.208.30.126,Auto Resolving
There is a Power Supply's Failure in Network Device PH-PAM-AS04.dyson.global.corp.,Non-Auto Resolving
There is a Power Supply's Failure in Network Device SG-SAM-B20-AS01-1.dyson.global.corp.,Non-Auto Resolving
ThousandEyes Alert triggered for [underlay] STC_To_au-par-rtr01_124.158.16.251,Auto Resolving
This network device UK-Hul-h86-EX14.dyson.global.corp is unreachable from Cisco Catalyst Center. The device role is EXTENDED-NODE.,Non-Auto Resolving
This network device UK-Hul-h86-EX10.dyson.global.corp is unreachable from Cisco Catalyst Center. The device role is EXTENDED-NODE.,Non-Auto Resolving
This network device UK-Hul-h181-EX17.dyson.global.corp is unreachable from Cisco Catalyst Center. The device role is EXTENDED-NODE.,Non-Auto Resolving
This network device at-vie-rtr01 is unreachable from Cisco Catalyst Center. The device role is BORDER ROUTER.,Non-Auto Resolving
This network device at-vie-rtr02 is unreachable from Cisco Catalyst Center. The device role is BORDER ROUTER.,Non-Auto Resolving
There is a Power Supply's Failure in Network Device SG-SAM-B20-AS01-1.dyson.global.corp.,Non-Auto Resolving
2 AP(s) are disconnected from Wireless Controller that are physically connected to Switch 'uk-bri-02-a-as01.dyson.global.corp'.,Auto Resolving
5 AP(s) are disconnected from Wireless Controller that are physically connected to Switch 'PH-BAT-PTC-C-L3S8-AS01.dyson.global.corp'.,Auto Resolving
1 AP(s) are disconnected from Wireless Controller that are physically connected to Switch 'Unknown'.,Auto Resolving
